Feature,V1,User-Visible,Perspectives,Key Files,Description
/persona command,Left Panel - List,Yes,"FE, Persona",app.ts,"Switch active persona, list personas, or trigger creation flow"
/pause command,Left Panel - Hover,Yes,"FE, Persona, Scheduled",app.ts,"Stop persona from responding (30m, 2h, or indefinite)"
/resume command,Left Panel - Hover,Yes,"FE, Persona, Scheduled",app.ts,Resume a paused persona
/archive command,Left Panel - Hover,Yes,"FE, Persona",app.ts,"Archive persona (removes from active list, keeps all data)"
/unarchive command,Left Panel - Footer,Yes,"FE, Persona",app.ts,Restore an archived persona to active list
/delete command,Left Panel - Hover,Yes,"FE, Persona",app.ts,Permanently delete archived persona with option to clean up learned concepts
/nick command,Persona Editor,Yes,"FE, Persona",app.ts,Add/remove/list aliases for persona
/model command,Persona Editor,Yes,"FE, LLM",app.ts,View or set per-persona model override
/group command,Persona Editor,Yes,"FE, Persona, Data",app.ts,Set persona's primary group (affects where new data is tagged)
/groups command,Persona Editor,Yes,"FE, Persona, Data",app.ts,Manage which groups a persona can see data from
/status command,Persona Editor,Yes,"FE, Persona",app.ts,Show persona's groups and which other personas they can see
/undo command,Left Panel - Top,Yes,"FE, Data",app.ts; state-manager.ts,Revert last n state changes
/savestate command,Left Panel - Top,Yes,"FE, Data",app.ts; state-manager.ts,Save named state snapshot to disk
/restorestate command,Left Panel - Top,Yes,"FE, Data",app.ts; state-manager.ts,Restore previously saved state snapshot
/new command,Left Panel - Bottom,Yes,"FE, Persona",app.ts,Start persona creation flow
/clarify command,Human Editor,Yes,"FE, LLM",app.ts,Ask Ei to clarify a specific learned concept
/editor command,Expanding INPUT,Yes,FE,app.ts,Open $EDITOR for multi-line message composition
/refresh command,N/A,Yes,"FE, Data",app.ts,Reload all data from disk
/help command,Left Panel - Top,Yes,FE,app.ts,Show help modal with command reference
/quit command,Save on tab close,Yes,FE,app.ts,Exit app (--force bypasses confirmation)
Ctrl+C exit,Clear Input,Yes,FE,app.ts,Two-press confirmation exit
Ctrl+E editor,N/A,Yes,FE,app.ts,Open multi-line editor
Ctrl+H focus,Nav,Yes,FE,app.ts,Focus persona list
Ctrl+L focus,Nav,Yes,FE,app.ts,Focus input box
Ctrl+R refresh,N/A,Yes,FE,app.ts,Reload data from disk
PageUp/PageDown scroll,Always Chat History,Yes,FE,app.ts,Scroll chat history
Escape/Q emergency exit,Global Pause/Unpause,Yes,FE,app.ts,Immediate exit
Responsive layout,2 Sizes,Yes,FE,layout-manager.ts,Full/medium/compact layout based on terminal width
Persona status indicators,Persona Panel,Yes,"FE, Persona",persona-renderer.ts,"Typing spinners, pause icons, unread counts in persona list"
Markdown rendering,Message History,Yes,FE,chat-renderer.ts,"Bold, italic, code blocks, headers in chat display"
Unicode/emoji handling,Editor/Message History,Yes,FE,unicode-width.ts,Proper display width calculation for emoji
Ei global persona,Default,Yes,"Persona, Data, Learning",app.ts; extraction.ts,"First persona, sees all data, arbiter of truth for cross-persona validation"
Per-persona chat history,Chat history,Yes,"Persona, Data, FE",storage.ts; app.ts,Each persona has independent conversation history
Persona visibility rules,Persona Editor,Yes,"Persona, Data",prompts/response/sections.ts; app.ts,Personas only see human data tagged with their groups
Persona creation flow,Left Panel - Bottom,Yes,"Persona, LLM",persona-creator.ts; persona-builder.ts,Confirm name -> describe in editor -> LLM generates traits/topics
Persona short/long descriptions,Background Jobs,Yes,"Persona, LLM",types.ts,Two description lengths used in response prompts
Persona alias system,Persona Editor,Yes,"Persona, FE",app.ts; storage.ts,Multiple nicknames per persona for /persona switching
Auto-resume from pause,Processor Loop,Yes,"Persona, Scheduled",app.ts,Paused personas auto-resume after specified duration
Heartbeat system,Processor Loop,Yes,"Scheduled, Persona, LLM",ei-heartbeat.ts,Personas proactively reach out after inactivity period
Daily ceremony,"Definition change: Now describes: Exposure, Decay, Expire, Explore",Yes,"Scheduled, Persona",app.ts,Morning greeting/check-in from Ei
HumanEntity structure,Human Editor,No,Data,types.ts,"Core entity with facts, traits, topics, people buckets"
PersonaEntity structure,Persona Editor,No,"Data, Persona",types.ts,"Persona entity with traits, topics, descriptions, groups"
Facts bucket,Human Editor,No,"Data, Learning",types.ts,"Biographical data (birthday, job, family) with confidence score"
Traits bucket,Human Editor,No,"Data, Learning",types.ts,Personality/behavior patterns with strength value
Topics bucket,Human Editor,No,"Data, Learning",types.ts,Interests with exposure_current and exposure_desired
People bucket,Human Editor,No,"Data, Learning",types.ts,"Relationships (family, friends) with sentiment and exposure"
Semantic field: sentiment,DataItem,No,"Data, Learning",types.ts,Emotional valence from -1 to 1
Semantic field: strength,Traits,No,"Data, Learning",types.ts,How strongly a trait manifests (0 to 1)
Semantic field: confidence,Step1,No,"Data, Learning",types.ts,How certain a fact is accurate (0 to 1)
Semantic field: exposure_current,Ceremony - Exposure,No,"Data, Learning",types.ts,How recently/frequently discussed (0 to 1)
Semantic field: exposure_desired,Ceremony - Step 3,No,"Data, Learning",types.ts,How much entity wants to discuss (0 to 1)
change_log field,Ceremony - Exposure,No,"Data, Learning",types.ts,Audit trail of who changed what and when
learned_by field,Ceremony - Exposure,No,"Data, Learning",types.ts,Which persona learned this data item
persona_groups field,Ceremony - Exposure,No,"Data, Learning",types.ts,Which groups can see this data item (* = global)
Archive state persistence,PersonaEntity,No,"Data, Persona",storage.ts,Stores archived status and date per persona
Pause state persistence,PersonaEntity,No,"Data, Persona",storage.ts,Stores pause status and expiry time per persona
Extraction state tracking,HumanEntity,No,"Data, Learning",storage.ts,Last extraction timestamp per entity/data-type
JSONC file storage,FUCK NO,No,Data,storage.ts,Human-readable JSON with comments for all persistence
State snapshots for undo,Auto_save,No,Data,state-manager.ts,Full state captures enabling undo functionality
Three-step extraction pipeline,Ceremony - Exposure,No,"Learning, BE",extraction.ts,Scan -> Match -> Update pipeline for human data
Step 1: Fast scan,Ceremony - Exposure - Step 1,No,Learning,prompts/extraction/step1/*,Detect potential facts/traits/topics/people from new messages
Step 2: Match,Ceremony - Exposure - Step 2,No,Learning,prompts/extraction/step2/match.ts,Match detections against existing items
Step 3: Update,Ceremony - Exposure - Step 3,No,Learning,prompts/extraction/step3/update.ts,Detailed update with evidence validation
Confidence filtering,Ceremony - Exposure - Step 1,No,Learning,extraction.ts,Skip low-confidence detections from Step 1
Evidence requirements,Ceremony - Exposure - Step 1,No,Learning,extraction.ts,Require quoted message evidence for traits/topics
Persona trait extraction,Message Loop: Human,No,"Learning, Persona",prompts/persona/traits.ts,"Learn traits from user requests (""be more direct"")"
Persona topic detection,Ceremony - Exposure,No,"Learning, Persona",prompts/persona/topics-detection.ts,Detect topics personas engage with
